product_id,product_name,category,price_usd,mrp_usd,in_stock,rating,reviews,description
prod_1,Modern Table Lamp,Decoration,29,40.00,true,4.2,6,Sleek modern table lamp with adjustable brightness. Perfect for home office or bedroom use.
prod_2,Smart Speaker Gray,Speakers,49,70.00,true,4.2,6,Voice-controlled smart speaker with 360-degree sound. Compatible with Alexa and Google Assistant.
prod_3,Smart Watch White,Watch,89,120.00,true,4.2,6,Fitness and lifestyle smartwatch with heart rate monitor sleep tracking and 7-day battery life. White edition.
prod_4,Wireless Headphones,Headphones,59,90.00,true,4.2,6,Over-ear wireless headphones with active noise cancellation and 30-hour battery life.
prod_5,Smart Watch Black,Watch,79,110.00,true,4.2,12,Sport-focused smartwatch with GPS workout tracking and water resistance up to 50m. Black edition.
prod_6,Security Camera,Camera,89,130.00,true,4.2,12,1080p indoor/outdoor security camera with night vision motion alerts and cloud storage support.
prod_7,Smart Pen for iPad,Pen,69,100.00,true,4.2,12,Pressure-sensitive stylus compatible with iPad. Features tilt recognition and palm rejection.
prod_8,Home Theater,Theater,299,400.00,true,4.2,12,5.1 surround sound home theater system with Bluetooth connectivity and wireless subwoofer.
prod_9,Apple Wireless Earbuds,Earbuds,129,160.00,true,4.2,12,True wireless earbuds with active noise cancellation transparency mode and 24-hour total battery life with case.
prod_10,Apple Smart Watch,Watch,249,320.00,true,4.2,12,Premium smartwatch with ECG health monitoring always-on display and seamless smartphone integration.
prod_11,RGB Gaming Mouse,Mouse,39,60.00,true,4.2,12,High-precision gaming mouse with customizable RGB lighting 7 programmable buttons and 12000 DPI sensor.
prod_12,Smart Home Cleaner,Cleaner,149,220.00,true,4.2,12,Robotic vacuum cleaner with auto-mapping smart navigation and app control. Works on all floor types.
